	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	sig
vOUT118	84.4711709270203	-27.3490082707056	2.91029207447909	-9.39734142512165	5.59591060029543e-21	6.29353412179893e-18	down
vOUT1252	6.13798415499001	-23.7675850334724	2.54549212031051	-9.33712771838131	9.89828322561165e-21	8.34920190080343e-18	down
vOUT1373	60.52861095088	-26.890054205772	2.91035722677846	-9.23943423795342	2.47804007215774e-20	1.67218144069204e-17	down
vOUT2608	55.0764916753216	-26.7612860776849	2.91037993792056	-9.19511769889591	3.74584293004305e-20	2.10641234099421e-17	down
vOUT1198	31.0970941095012	-25.903247042807	2.91057438467233	-8.89970281440623	5.59964176705713e-19	2.69902733172154e-16	down
vOUT1108	21.5319235175377	-25.479562518029	2.91077225667163	-8.75354039108644	2.0676183948398e-18	7.75127162687722e-16	down
vOUT24	11.8255935298778	-24.3969945801219	2.91129748420502	-8.38011048767278	5.28780419404539e-17	1.37238856543917e-14	down
vOUT567	2959.29412856319	-7.15718142908961	1.10940537028698	-6.45136721056091	1.10845550228372e-10	1.62605602813272e-08	down
vOUT390	13.7054163857453	-4.58143124632222	0.71922401823983	-6.36996419771192	1.89072330733161e-10	2.55172017557474e-08	down
vOUT446	359.192571194656	-3.71321809205729	0.600697194431235	-6.18151395824834	6.34897453689368e-10	7.38670347844113e-08	down
vOUT743	560.053023421481	-3.98521742295	0.668917086378946	-5.95771509518946	2.55788934743905e-09	2.61524807826042e-07	down
vOUT1339	26783.0603440279	-5.47705936822947	0.925864987097138	-5.91561344748729	3.30640914409413e-09	3.28112483887458e-07	down
vOUT456	11147.5885658722	-3.27160336822071	0.557973612892643	-5.86336574459155	4.53577609451903e-09	4.26083619752519e-07	down
vOUT477	112.398937897792	-3.89291303218052	0.677500475258392	-5.74599306472191	9.13830521753206e-09	8.11385310630347e-07	down
vOUT837	1030.34032987614	-2.71510849657324	0.509880616443368	-5.32498865226976	1.00959342119595e-07	7.56970711803366e-06	down
vOUT608	341.39812949516	-4.48253905654374	0.855552334883184	-5.23935108792121	1.61142214134596e-07	1.18194310976114e-05	down
vOUT65	329.090010369745	-3.47264921077893	0.664633791578317	-5.22490618861309	1.74243427072787e-07	1.2247860894658e-05	down
vOUT507	46.0726734726835	-3.42965804226296	0.66930382884607	-5.1242169765799	2.98776766814484e-07	1.90202417213598e-05	down
vOUT1099	5549.476269417	-2.71644032800086	0.545048323079465	-4.98385228057076	6.23306723293731e-07	3.56446929558144e-05	down
vOUT741	1384.72391391864	-3.04608806336141	0.616058096049193	-4.94448183198323	7.63466608589936e-07	4.02490052716007e-05	down
vOUT344	278.420771829138	-5.18614492144148	1.05754805927126	-4.90393308935308	9.39364989814428e-07	4.80214769035436e-05	down
vOUT1383	324.206303747179	-11.0645518673245	2.27040860704003	-4.87337470137129	1.0970785909704e-06	5.44344583225607e-05	down
vOUT97	159.937729652757	-3.7379930210993	0.769333832472082	-4.85873994269574	1.18135180577611e-06	5.77663911983853e-05	down
vOUT722	150.370502179674	-3.32694487839702	0.689771144701566	-4.82325899532438	1.41231390015012e-06	6.8073529987236e-05	down
vOUT2797	62.1269619238343	-7.73891587107577	1.63474825586997	-4.73401078318163	2.20126023859376e-06	9.77243690133597e-05	down
vOUT910	825.577907158949	-2.79617920520902	0.591585564324763	-4.72658457851416	2.2832771255521e-06	0.000100049052228738	down
vOUT1135	396.685772480111	-6.02793784131534	1.27910408809509	-4.7126249516507	2.44546035447687e-06	0.000105781836359038	down
vOUT689	3765.2089046564	-2.83444838057327	0.604474759119808	-4.68910957456782	2.74396434328265e-06	0.000115726696177946	down
vOUT695	1670.42869845286	-7.23089668083114	1.55262020906389	-4.65722179746121	3.20505095155597e-06	0.000133504221117899	down
vOUT715	160.415015010329	-3.06978032470107	0.663161359233569	-4.62900963989953	3.674186665098e-06	0.000149357901301695	down
vOUT894	4269.63433433457	-2.29542984543815	0.496659858805445	-4.62173418032828	3.80545433406357e-06	0.000152852415751553	down
vOUT266	5035.75302582827	-3.7280120916208	0.816337694932004	-4.56675235599811	4.95338622463572e-06	0.00018778342833619	down
vOUT569	1019.90794255522	-6.77014532713469	1.48943043068486	-4.54545924915856	5.48156022993153e-06	0.000204005395577712	down
vOUT1148	14253.0686737691	-2.33883240856166	0.524318967962266	-4.46070531770268	8.16903532467548e-06	0.000285525057524018	down
vOUT102	73.7399509672936	-3.35672753818686	0.752685359283072	-4.45966896630502	8.20863384108765e-06	0.000285525057524018	down
vOUT677	112.727259977984	-3.08197785434679	0.693626642995435	-4.44328066903144	8.85974685411469e-06	0.000303861054424459	down
vOUT794	1022.70603919691	-4.93253393108721	1.11045043770145	-4.44192173159676	8.91589934440469e-06	0.000303861054424459	down
vOUT827	1971.92519242916	-4.38094965751078	0.991905337669602	-4.41670136366384	1.00218539274285e-05	0.000325132068760998	down
vOUT2193	5270.87989844316	-2.15697326891403	0.491404758559166	-4.38940248612656	1.13662531415926e-05	0.000361789982072956	down
vOUT1385	1336.82460527542	-2.86244894732694	0.658853184721989	-4.3445930196646	1.39534108865287e-05	0.000435914891955071	down
vOUT918	426.642560745698	-2.88730688608057	0.665811397781486	-4.33652366976775	1.44753845621119e-05	0.000448072912959317	down
vOUT126	54.6859283373033	-7.57387349708594	1.7774622758055	-4.26106005183916	2.03459549338019e-05	0.000586728649116647	down
vOUT481	11.9271645189359	-3.93064360019096	0.930947299570022	-4.22219775706574	2.41931697715101e-05	0.000680231290075625	down
vOUT471	880.704096760779	-2.33635774197755	0.555297548205075	-4.20739790681503	2.58328046819799e-05	0.000720329611545457	down
vOUT579	12545.3024320755	-1.85596680419303	0.452086482009094	-4.10533576661046	4.03728033586731e-05	0.00105595223668343	down
vOUT590	740.014952194216	-7.17876467815499	1.75842970807914	-4.0824860073576	4.45564955463698e-05	0.00114758485475917	down
vOUT2662	31.0548958797756	-5.89941630807501	1.46111357922224	-4.03761650837254	5.39970290830561e-05	0.00134952574908319	down
vOUT474	119.389784350784	-2.47390843545253	0.614663493196593	-4.02481758366164	5.70194971601785e-05	0.00140426119283535	down
vOUT279	801.08242154756	-4.24480278637694	1.05789555920149	-4.01249702719327	6.00798358668595e-05	0.00146472835728271	down
vOUT1478	87.8490150614304	-3.37589786346404	0.84255886084885	-4.00672050385054	6.15676465005316e-05	0.00147805287533235	down
vOUT499	17.5154982371124	-3.39844735575942	0.849388510024225	-4.00105171620757	6.3061572175707e-05	0.00148541107957109	down
vOUT221	18.61055569182	-8.00434429542987	2.00312265759811	-3.99593318215853	6.44399088092297e-05	0.00149945001601614	down
vOUT179	268.361413544135	-3.64349935614505	0.921268969524509	-3.95487037626542	7.65761580044695e-05	0.00173401313494685	down
vOUT840	215.154715919744	-4.02168039463236	1.0317692933321	-3.89784850220184	9.70510973446796e-05	0.00216854571152946	down
vOUT61	64.7578447084005	-5.92938191189234	1.53114935777992	-3.8725039342273	0.000107722936552163	0.00232985376876282	down
vOUT1049	220.00076666717	-2.00141423782506	0.519895903446292	-3.84964417791727	0.000118289538748057	0.00252082662353886	down
vOUT1525	428.207049361093	-1.92410132630761	0.503575887582336	-3.82087660222415	0.000132978178146628	0.00275617856248444	down
vOUT1326	293.501052225405	-2.80514384566558	0.734868976551856	-3.81720270575014	0.000134973274677435	0.00277682822415651	down
vOUT1216	60145.3167183962	-1.94878729735419	0.516499036421312	-3.77307053824694	0.000161250673622027	0.00325784295090251	down
vOUT573	8119.12316212062	-3.11524458872346	0.825605317629487	-3.77328551815543	0.000161111729436367	0.00325784295090251	down
vOUT1785	96.103809237472	-6.50218936900908	1.74710632024207	-3.72169071433968	0.000197893319744886	0.00390463193461547	down
vOUT2949	1341.57693714975	-4.78217513928146	1.28752319502902	-3.71424387362099	0.000203812174841762	0.0039749264619428	down
vOUT1841	5300.52766589747	-3.8093837151087	1.03310699999987	-3.68730800885986	0.000226638969795103	0.00429595440499258	down
vOUT508	6.64656411730176	-3.56030001261412	0.967310986469679	-3.68061570933654	0.000232671445174189	0.00438566176546209	down
vOUT707	386.582320918533	-3.45508670797823	0.94428391001236	-3.65894904206618	0.000253251686114612	0.00472083529807017	down
vOUT1475	32.8665211467496	-3.79350158476187	1.04543837722116	-3.62862285087068	0.000284937150629091	0.0051824032745958	down
vOUT1234	22666.4896441461	-2.18242314126813	0.603399081637176	-3.61688177473963	0.000298173408591551	0.00535126106695688	down
vOUT616	58.1125755877299	-8.43436444975649	2.33118052575506	-3.61806576392218	0.000296812985434223	0.00535126106695688	down
vOUT325	7345.49816098389	-3.2164339273723	0.89055858266995	-3.61170392376573	0.000304191746354382	0.00543038599047453	down
vOUT90	91.1610940154462	-3.90119911904321	1.08262933083869	-3.60344857461143	0.000314022899327818	0.00554718985514167	down
vOUT855	4307.62543768166	-1.99724539458105	0.557210485410171	-3.58436434144064	0.000337900133008309	0.00587667550912388	down
vOUT1000	45.2427460797003	-3.2886330293253	0.918748039443747	-3.57947216008906	0.000344288922638677	0.00592668788256579	down
vOUT1867	49.9422055575553	-5.66731706977693	1.58956306568338	-3.56533011626089	0.000363398491278528	0.00613219757150259	down
vOUT818	78541.6061303432	-2.52637691095842	0.71166444153132	-3.54995523665944	0.000385296659967153	0.00638822623245184	down
vOUT190	608.814490108916	-2.63916136334062	0.743520382636146	-3.54954810247903	0.000385892956666769	0.00638822623245184	down
vOUT320	48.2410001914587	-4.97970451324877	1.40614589718662	-3.5413853734609	0.000398031762381793	0.00648772544094768	down
vOUT395	56.2998068970373	-2.34787591153945	0.66608246258573	-3.52490276117615	0.000423638267678229	0.00685087410983478	down
vOUT731	21167.5007605752	-1.12967077149797	0.320960686427823	-3.51965464702486	0.000432109044208841	0.00687705620358788	down
vOUT13	5776.52660397439	-2.44460199079706	0.69601595046265	-3.51227869012499	0.000444281851067985	0.00703759138733982	down
vOUT1235	15824.9929441815	-2.01436004676426	0.574120095428739	-3.50860397119523	0.000450465124280788	0.0071008503995291	down
vOUT632	12635.8081461398	-2.25269486540969	0.642492799725294	-3.50617916087597	0.000454589118642053	0.0071008503995291	down
vOUT756	129.105075231405	-2.61874633760488	0.747248674419514	-3.50451787638059	0.000457434855973177	0.00711237421222811	down
