Contig	TXAS01	TXAS02	TXAS06	TXAS09	TXAS10	TXAS11	TXAS12	TXAS14	TXAS15	TXAS18	TXAS20	TXAS21	TXAS24	TXAS25	TXAS29	TXAS30	TXAS31	TXAS33	TXAS35	TXAS39	TXAS42	TXAS44	TXAS46	TXAS47	TXAS48	TXAS50	TXAS51	TXAS52	TXAS53	TXHC02	TXHC03	TXHC04	TXHC05	TXHC06	TXHC08	TXHC10	TXHC12	TXHC13	TXHC15	TXHC16	TXHC17	TXHC18	TXHC19	TXHC20	TXHC21	TXHC22	TXHC23	TXHC24	TXHC25	TXHC26	TXHC27	TXHC28	TXHC29	TXHC30	TXHC31	TXHC32	TXHC33	TXHC35
vOUT1	185899	5386	32617	136464	17130	20997	212819	5050	3	1918	5	66974	3	37913	5649	450	14453	94182	42	50062	26487	27474	20755	21335	14645	149	230	676	3148	50783	22523	57228	24108	8688	39638	4893	9784	4866	93545	8	51001	3465	33380	17335	48257	33844	26195	337	236234	0	2308	1510	39284	78867	67	4250	60555	691
vOUT10	6990	6413	89	3838	2027	2244	1444	4828	756	6536	28117	36570	10521	4179	26472	129464	30260	25440	3042	18537	5364	11067	15840	60656	41350	439	2019	46488	74690	6990	21107	5167	30623	39975	10170	4022	8755	6040	93660	1252	35384	18982	17824	13124	35034	9561	38264	12586	7575	4269	708	18248	14867	15227	1532	870	6533	3724
vOUT100	0	0	9360	0	0	1273	1	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188	0	1	0	681	0	0	10	0	253	1835	0	1	8	0	0	0	0	1219	0	0	0	0	0	0	0	0	0	0	0	0	4033	0	0
vOUT1000	0	1	54	0	1	0	7	0	61	1068	17	0	1	1	16	0	0	1	1	114	59583	3	4	3	2	1	0	6	1	2	0	0	0	13	1	1	0	0	88	3	1	3	248	3	4	0	0	2	18	3	0	2	0	1	0	410	379	11
vOUT1001	20268	17233	3289	25	11046	15609	758	13976	0	15499	549469	9242	410	196	171	0	32318	132233	125	0	264557	57	2409	22	18848	79630	4330	13805	19829	947	16337	4168	163922	23947	14116	3477	112	47790	192099	167	2	44771	2	14133	0	24877	44146	25160	0	0	0	642	28664	77380	1496	17	23	13
vOUT1002	207	395	82	14	337	50	0	192	0	427	2349	12	0	241	47	0	1289	1070	12	416	59088	839	73	8	633	2	16	4	64	54	1	188	1563	1046	105	38	0	267	842	180	3	92	199	0	84	4	964	227	387	1109	4	13	26	0	28	2	300	38
vOUT1003	21608	1999	17211	46391	5088	11770	68340	1095	0	487	0	19888	1	20966	1746	0	4661	24773	0	13949	15799	3042	11697	14745	6285	51	77	265	2354	10652	8638	15167	9104	2188	8589	1874	3428	2385	35147	0	13755	1091	13977	2920	16124	9962	7015	120	67372	0	859	573	5829	26138	52	1597	18571	319
vOUT1004	392	315	165	38	437	172	0	123	0	82	1334	88	247	203	204	0	6	39	577	472	20302	1184	51	759	160	0	132	1642	536	110	833	298	281	125	611	145	4	176	639	0	512	125	424	66	574	0	17	362	21	0	12	119	128	3629	431	14	456	80
vOUT1005	7	1845	2846	280	2385	378	21	1234	2	302	1663	8	11	2079	3535	4	13	2562	3230	2333	60174	3560	1578	25	733	0	147	413	3	408	24	452	34	1150	375	40	84	190	110750	4	23	8675	9333	554	3488	7240	1	6112	39	669	91	234	322	16	54	176578	6046	1279
vOUT1006	172	149	91	33	211	112	0	101	0	62	819	65	135	119	107	0	12	34	238	329	18441	513	52	405	88	0	44	923	294	49	332	226	103	68	255	90	20	88	492	0	284	134	241	12	330	0	0	304	199	0	3	70	116	3265	181	13	244	34
vOUT1007	2676	749	127	10	385	2	0	24	3	27	426	56	1	75	42	300	165	71	9	10	20453	8	276	6	717	3	144	4	248	19	23	213	194	331	48	5	4	146	1728	1676	130	4576	1005	1	13	119	410	25	1035	465	0	3	458	21	781	5449	4699	133
vOUT1008	7497	1064	13650	14590	1545	7993	22192	346	0	319	0	6270	0	7766	620	0	1566	8068	0	10250	17970	3101	3643	4919	2372	24	36	135	1299	6124	4143	6845	4032	968	6536	1304	1335	815	13390	3	7761	310	9289	1077	8355	3386	2806	84	30986	0	284	254	1745	10901	19	667	6012	182
vOUT1009	0	0	0	9	30	10	231	0	27	433	0	188	0	10	11	0	374	22	0	62	34704	12	10	113	1	0	23	1	1488	0	0	20	333	20	78	20	2	2	0	6210	0	0	124	0	0	0	0	353	85	1	0	0	811	644	44894	996	986	59
