Contig,TXAS01,TXAS02,TXAS06,TXAS09,TXAS10,TXAS11,TXAS12,TXAS14,TXAS15,TXAS18,TXAS20,TXAS21,TXAS24,TXAS25,TXAS29,TXAS30,TXAS31,TXAS33,TXAS35,TXAS39,TXAS42,TXAS44,TXAS46,TXAS47,TXAS48,TXAS50,TXAS51,TXAS52,TXAS53,TXHC02,TXHC03,TXHC04,TXHC05,TXHC06,TXHC08,TXHC10,TXHC12,TXHC13,TXHC15,TXHC16,TXHC17,TXHC18,TXHC19,TXHC20,TXHC21,TXHC22,TXHC23,TXHC24,TXHC25,TXHC26,TXHC27,TXHC28,TXHC29,TXHC30,TXHC31,TXHC32,TXHC33,TXHC35
vOUT1,87532,2210,12448,69199,7812,10095,110565,2118,3,1153,0,28516,2,20718,2975,212,7137,30333,20,20584,14460,10571,6881,9361,4937,149,107,318,1173,27636,7575,21322,7327,3053,13260,2058,3724,1893,31381,7,22093,1494,15266,9532,18892,19982,10056,198,105621,0,1629,643,19057,34933,41,2893,25873,275
vOUT10,3365,2741,33,1956,907,1127,784,2054,563,3857,5916,15640,5400,2265,13647,64643,15040,8254,1225,7596,2885,4257,5313,26597,13934,439,944,20669,28164,3731,7220,1885,9438,13992,3294,1672,3320,2347,31371,653,15242,8478,8136,7173,13569,5604,14985,6700,3447,2742,513,7500,7253,6750,983,598,2752,1578
vOUT100,0,0,3540,0,0,633,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,268,0,0,5,0,74,585,0,1,4,0,0,0,0,559,0,0,0,0,0,0,0,0,0,0,0,0,2722,0,0
vOUT1000,0,1,19,0,0,0,3,0,46,617,4,0,0,1,6,0,0,0,0,48,31878,1,1,1,2,1,0,2,1,0,0,0,0,4,1,1,0,0,23,3,1,3,109,1,1,0,0,2,11,3,0,1,0,1,0,260,164,3
vOUT1001,9437,7058,1270,12,5038,7516,420,6089,0,9217,115683,3943,213,116,87,0,16056,42730,43,0,142671,22,811,9,6203,79630,2175,6215,7550,506,5519,1553,50206,8390,4587,1440,40,18589,64084,94,1,20065,1,7769,0,14762,17135,13559,0,0,0,258,13930,34418,934,6,11,5
vOUT1002,104,157,32,11,152,28,0,84,0,250,517,6,0,147,27,0,648,354,6,164,32141,314,30,3,239,2,8,1,30,30,1,76,449,370,29,13,0,99,269,104,2,45,91,0,30,4,384,118,177,729,3,6,16,0,16,2,134,13
vOUT1003,10186,832,6496,23568,2308,5685,35469,481,0,301,0,8382,0,11557,893,0,2262,7948,0,5730,8542,1134,3914,6467,2183,51,41,121,888,5683,2936,5550,2763,767,2852,804,1301,919,11688,0,5972,478,6443,1659,6317,5831,2746,59,30022,0,612,251,2761,11406,33,1075,7918,139
vOUT1004,195,131,71,22,212,100,0,52,0,54,273,42,132,110,103,0,2,14,221,217,10908,473,23,360,57,0,64,691,208,60,289,91,76,49,184,60,1,58,222,0,242,54,203,42,235,0,5,198,9,0,9,50,63,1581,269,10,201,37
vOUT1005,5,779,1096,154,1082,194,12,512,2,181,327,3,6,1144,1845,4,6,815,1233,934,32321,1353,488,8,245,0,74,203,2,229,9,168,15,406,121,17,37,75,36747,2,9,3923,4225,304,1352,4345,0,3310,21,440,66,90,144,7,27,120069,2528,550
vOUT1006,84,65,43,15,95,53,0,39,0,35,173,29,74,66,48,0,6,9,97,129,9885,211,16,188,35,0,21,393,117,28,116,77,26,19,79,37,9,36,163,0,134,65,99,7,116,0,0,164,84,0,1,25,55,1452,112,6,101,14
